Year,Month,Day,Mean Pressure(hPa),Absolute Daily Max(deg. C),Mean(deg. C),Absolute Daily min(deg. C),Mean Dew Point(deg. C),Mean Relative Humidity(%),Mean Amount of Cloud(%),Total Rainfall(mm),Total Bright Sunshine(hours),Prevailling Wind Direction(degrees),Mean Wind Speed(km/h)
2000,1,01,1017.1,22.7,19.2,17.2,13.3,69,6, 0.0,9.8,030,12.7
2000,1,02,1017.2,23.6,20.4,17.8,13.1,64,2, 0.0,9.3,010,9.5
2000,1,03,1016.8,20.5,19.2,18.2,12.8,67,10, 0.0,9.0,040,26.0
2000,1,04,1016.1,20.5,18.9,17.5,14.0,74,60, 0.0,3.9,040,25.0
2000,1,05,1013.9,23.2,20.6,18.3,15.8,75,40, 0.0,6.7,030,16.0
2000,1,06,1013.7,23.4,21.2,19.2,18.5,85,48, 0.0,7.2,020,7.7
2000,1,07,1016.8,20.8,18.9,17.9,15.5,81,88, 0.0,0.6,070,33.1
2000,1,08,1016.0,20.2,18.5,16.8,14.3,77,46, 0.0,8.3,060#,27.1#
2000,1,09,1015.0,22.8,19.9,18.3,16.7,82,71, 0.0,2.6,020#,8.5#
2000,1,10,1015.5,22.1,20.1,18.7,16.7,81,78,Trace,5.9,050#,25.2#
2000,1,11,1015.1,20.3,19.3,18.2,16.3,83,94,Trace,2.2,040,27.4
2000,1,12,1013.1,24.0,21.6,19.9,19.1,86,59,Trace,3.9,020,11.4
2000,1,13,1013.0,21.0,19.5,18.4,17.1,86,90,Trace,0.0,030,17.2
2000,1,14,1014.0,18.8,18.2,17.8,15.4,84,92,Trace,0.0,060,37.8
2000,1,15,1014.4,19.6,18.5,17.3,15.5,83,82, 0.0,3.6,060,32.6
2000,1,16,1016.0,21.1,19.2,17.8,16.4,84,74, 0.0,4.7,030,20.6
2000,1,17,1018.3,19.2,17.2,14.9,12.5,74,89, 0.0,0.1,010,21.3
2000,1,18,1021.2,15.2,13.3,11.9,7.4,68,95, 0.0,0.0,010,29.6
2000,1,19,1023.3,15.2,12.7,9.9,4.6,58,54, 0.0,6.7,010,26.6
2000,1,20,1024.6,15.7,14.1,12.2,6.9,62,19, 0.0,9.0,070,41.2
2000,1,21,1025.4,16.9,15.2,13.4,9.7,70,85, 0.0,1.9,070,47.0
2000,1,22,1021.2,19.3,17.9,16.4,12.8,72,89,Trace,0.1,060,31.7
2000,1,23,1017.8,19.6,18.6,17.2,17.6,95,100,32.6,0.0,040,24.0
2000,1,24,1018.6,18.6,18.3,17.7,17.6,96,100,30.8,0.0,050,26.7
2000,1,25,1024.0,17.8,12.9,10.5,10.2,84,100, 6.8,0.0,010,39.5
2000,1,26,1028.0,11.9,9.8,8.2,4.3,69,73,Trace,2.4,010,38.3
2000,1,27,1028.3,12.7,10.0,7.2,1.3,55,13, 0.0,9.7,010,30.2
2000,1,28,1026.6,15.4,12.3,9.7,4.7,60,55, 0.0,6.3,040,27.8
2000,1,29,1026.6,18.1,15.1,12.9,8.5,65,40, 0.0,7.6,060,24.3
2000,1,30,1028.4,17.3,14.4,11.5,5.1,54,40, 0.0,9.2,010,31.6
2000,1,31,1028.4,14.0,12.0,10.9,4.8,62,88, 0.1,0.0,010,29.8
2000,2,01,1026.7,12.9,10.8,8.5,6.8,77,85, 4.8,1.3,010,28.3
2000,2,02,1023.9,15.3,12.8,9.7,10.0,83,88, 1.6,0.1,360,18.5
2000,2,03,1020.9,18.7,15.7,13.3,12.8,83,88, 0.6,1.3,020,18.0
2000,2,04,1019.3,18.3,16.2,15.0,13.5,84,86,Trace,2.9,060,30.0
2000,2,05,1018.3,20.6,17.0,14.9,14.0,83,28, 0.0,9.1,060,16.8
2000,2,06,1016.7,18.3,16.2,13.8,11.1,72,13, 0.0,10.3,360,16.8
2000,2,07,1017.0,19.5,16.4,14.3,10.5,69,54, 0.0,8.3,030,17.0
2000,2,08,1018.8,17.3,14.6,12.3,7.0,61,28, 0.0,8.0,010,27.0
2000,2,09,1019.0,16.7,14.7,13.3,8.5,67,27, 0.0,9.6,070,33.8
2000,2,10,1016.9,17.3,15.6,13.8,11.7,78,82, 0.0,3.9,050,23.3
2000,2,11,1015.2,21.0,18.1,16.2,13.7,76,31, 0.0,10.0,040,15.7
2000,2,12,1014.9,19.3,17.2,15.3,14.0,82,41, 0.0,8.2,060,19.3
2000,2,13,1013.7,20.4,18.0,16.5,14.6,81,39, 0.0,8.7,040,24.0
2000,2,14,1014.5,21.6,19.0,16.4,15.8,82,16, 0.0,9.1,030,11.9
2000,2,15,1019.3,19.4,16.5,15.2,12.3,76,57, 0.0,1.7,070,33.5
2000,2,16,1018.8,17.7,15.8,14.7,9.9,68,64, 0.0,6.7,070#,34.8#
2000,2,17,1018.4,16.9,15.7,15.1,12.4,81,88,Trace,0.1,070,35.0
2000,2,18,1015.4,18.2,16.7,15.4,13.7,83,88, 0.0,0.2,060,27.8
2000,2,19,1010.8,22.3,19.7,16.8,18.4,92,88,Trace,0.0,020,6.7
2000,2,20,1010.8,23.2,19.7,15.5,18.8,95,94, 0.7,0.0,220,23.3
2000,2,21,1014.6,15.6,14.6,13.8,13.2,91,95, 1.4,0.0,070,41.2
2000,2,22,1013.7,16.0,14.9,13.8,13.9,94,100, 1.7,0.0,060,31.5
2000,2,23,1014.4,15.9,15.0,14.3,14.2,95,100, 4.1,0.0,060,26.3
2000,2,24,1017.8,14.7,13.6,12.5,11.7,88,100, 0.9,0.0,010,23.3
2000,2,25,1019.8,13.1,12.1,11.2,9.0,82,92, 2.5,0.0,360,33.3
2000,2,26,1022.1,12.9,11.7,9.7,5.2,65,89, 1.2,0.2,010,35.7
