Month,Mean Pressure(hPa),Absolute Daily Max(deg. C),Mean(deg. C),Absolute Daily min(deg. C),Mean Relative Humidity(%),Mean Amount of Cloud(%),Total Bright Sunshine(hours),Mean Wind Speed(km/h),Total Rainfall(mm),rain_tmr_mm,rain_tmr_class
1,1017.1,22.7,19.2,17.2,69,6,9.8,12.0,0.0,0.0,0
1,1017.2,23.6,20.4,17.8,64,2,9.3,9.0,0.0,0.0,0
1,1016.8,20.5,19.2,18.2,67,10,9.0,26.0,0.0,0.0,0
1,1016.1,20.5,18.9,17.5,74,60,3.9,25.0,0.0,0.0,0
1,1013.9,23.2,20.6,18.3,75,40,6.7,16.0,0.0,0.0,0
1,1013.7,23.4,21.2,19.2,85,48,7.2,7.0,0.0,0.0,0
1,1016.8,20.8,18.9,17.9,81,88,0.6,33.0,0.0,0.0,0
1,1016.0,20.2,18.5,16.8,77,46,8.3,27.0,0.0,0.0,0
1,1015.0,22.8,19.9,18.3,82,71,2.6,8.0,0.0,0.0,0
1,1015.5,22.1,20.1,18.7,81,78,5.9,25.0,0.0,0.0,0
1,1015.1,20.3,19.3,18.2,83,94,2.2,27.0,0.0,0.0,0
1,1013.1,24.0,21.6,19.9,86,59,3.9,11.0,0.0,0.0,0
1,1013.0,21.0,19.5,18.4,86,90,0.0,17.0,0.0,0.0,0
1,1014.0,18.8,18.2,17.8,84,92,0.0,37.0,0.0,0.0,0
1,1014.4,19.6,18.5,17.3,83,82,3.6,32.0,0.0,0.0,0
1,1016.0,21.1,19.2,17.8,84,74,4.7,20.0,0.0,0.0,0
1,1018.3,19.2,17.2,14.9,74,89,0.1,21.0,0.0,0.0,0
1,1021.2,15.2,13.3,11.9,68,95,0.0,29.0,0.0,0.0,0
1,1023.3,15.2,12.7,9.9,58,54,6.7,26.0,0.0,0.0,0
1,1024.6,15.7,14.1,12.2,62,19,9.0,41.0,0.0,0.0,0
1,1025.4,16.9,15.2,13.4,70,85,1.9,47.0,0.0,0.0,0
1,1021.2,19.3,17.9,16.4,72,89,0.1,31.0,0.0,32.6,1
1,1017.8,19.6,18.6,17.2,95,100,0.0,24.0,32.6,30.8,1
1,1018.6,18.6,18.3,17.7,96,100,0.0,26.0,30.8,6.8,1
1,1024.0,17.8,12.9,10.5,84,100,0.0,39.0,6.8,0.0,0
1,1028.0,11.9,9.8,8.2,69,73,2.4,38.0,0.0,0.0,0
1,1028.3,12.7,10.0,7.2,55,13,9.7,30.0,0.0,0.0,0
1,1026.6,15.4,12.3,9.7,60,55,6.3,27.0,0.0,0.0,0
1,1026.6,18.1,15.1,12.9,65,40,7.6,24.0,0.0,0.0,0
1,1028.4,17.3,14.4,11.5,54,40,9.2,31.0,0.0,0.1,0
1,1028.4,14.0,12.0,10.9,62,88,0.0,29.0,0.1,4.8,1
2,1026.7,12.9,10.8,8.5,77,85,1.3,28.0,4.8,1.6,1
2,1023.9,15.3,12.8,9.7,83,88,0.1,18.0,1.6,0.6,0
2,1020.9,18.7,15.7,13.3,83,88,1.3,18.0,0.6,0.0,0
2,1019.3,18.3,16.2,15.0,84,86,2.9,30.0,0.0,0.0,0
2,1018.3,20.6,17.0,14.9,83,28,9.1,16.0,0.0,0.0,0
