iter	Passed	Remaining
0	26	26626
1	46	23247
2	71	23620
3	95	23788
4	148	29538
5	184	30560
6	260	36961
7	294	36554
8	325	35847
9	362	35933
10	392	35261
11	433	35685
12	467	35496
13	494	34830
14	522	34324
15	549	33765
16	577	33391
17	603	32925
18	629	32505
19	658	32266
20	681	31782
21	713	31710
22	739	31395
23	765	31145
24	793	30964
25	820	30754
26	848	30578
27	877	30467
28	905	30309
29	928	30016
30	950	29712
31	973	29448
32	995	29166
33	1016	28894
34	1041	28702
35	1063	28481
36	1086	28270
37	1110	28113
38	1133	27935
39	1159	27835
40	1183	27692
41	1210	27603
42	1232	27420
43	1259	27364
44	1280	27182
45	1304	27045
46	1326	26901
47	1354	26858
48	1377	26740
49	1404	26679
50	1451	27010
51	1482	27026
52	1515	27083
53	1544	27057
54	1572	27021
55	1614	27210
56	1659	27455
57	1697	27565
58	1722	27473
59	1749	27404
60	1774	27319
61	1804	27301
62	1854	27585
63	1903	27841
64	1954	28116
65	2006	28397
66	2050	28557
67	2086	28602
68	2120	28614
69	2153	28604
70	2193	28701
71	2218	28597
72	2239	28435
73	2260	28284
74	2282	28147
75	2307	28056
76	2331	27946
77	2353	27817
78	2382	27771
79	2404	27651
80	2427	27540
81	2450	27438
82	2480	27400
83	2508	27352
84	2542	27368
85	2582	27441
86	2634	27647
87	2665	27628
88	2712	27765
89	2751	27823
90	2784	27809
91	2815	27792
92	2844	27739
93	2869	27655
94	2894	27576
95	2919	27488
96	2944	27410
97	2964	27289
98	2985	27175
99	3007	27065
100	3029	26962
101	3053	26881
102	3075	26782
103	3098	26697
104	3125	26640
105	3146	26535
106	3169	26453
107	3197	26405
108	3219	26315
109	3240	26217
110	3261	26119
111	3282	26026
112	3335	26183
113	3357	26092
114	3379	26010
115	3402	25930
116	3427	25863
117	3449	25781
118	3473	25716
119	3496	25638
120	3519	25564
121	3542	25494
122	3564	25414
123	3587	25344
124	3610	25270
125	3632	25199
126	3659	25157
127	3681	25081
128	3703	25008
129	3726	24939
130	3749	24873
131	3774	24823
132	3798	24762
133	3824	24719
134	3850	24673
135	3872	24603
136	3893	24529
137	3915	24454
138	3935	24374
139	3956	24301
140	3976	24227
141	3998	24157
142	4020	24092
143	4042	24030
144	4064	23965
145	4086	23902
146	4107	23835
147	4129	23775
148	4153	23721
149	4175	23660
150	4195	23587
151	4217	23531
152	4239	23469
153	4260	23405
154	4282	23349
155	4304	23289
156	4327	23238
157	4350	23184
158	4373	23134
159	4396	23081
160	4419	23031
161	4441	22974
162	4465	22929
163	4488	22882
164	4511	22828
165	4534	22779
166	4555	22722
167	4580	22682
168	4602	22630
169	4625	22584
170	4650	22547
171	4674	22501
172	4696	22452
173	4718	22399
174	4740	22347
175	4763	22299
176	4782	22239
177	4803	22184
178	4826	22136
179	4846	22080
180	4870	22040
181	4897	22011
182	4923	21981
183	4957	21987
184	5013	22086
185	5055	22122
186	5104	22191
187	5162	22299
188	5190	22272
189	5220	22255
190	5254	22255
191	5282	22231
192	5305	22183
193	5334	22162
194	5363	22140
195	5386	22095
196	5411	22060
197	5437	22024
198	5463	21990
199	5485	21943
200	5510	21903
201	5537	21874
202	5569	21867
203	5596	21837
204	5621	21800
205	5650	21779
206	5683	21773
207	5714	21757
208	5740	21726
209	5769	21705
210	5812	21734
211	5844	21723
212	5872	21696
213	5894	21651
214	5918	21610
215	5949	21595
216	5976	21564
217	6002	21530
218	6028	21498
219	6054	21464
220	6077	21422
221	6102	21385
222	6128	21354
223	6150	21307
224	6174	21267
225	6197	21224
226	6223	21191
227	6249	21160
228	6276	21130
229	6306	21114
230	6331	21079
231	6360	21055
232	6384	21017
233	6412	20992
234	6443	20976
235	6469	20942
236	6504	20941
237	6529	20906
238	6554	20871
239	6579	20835
240	6605	20803
241	6629	20765
242	6659	20746
243	6695	20745
244	6721	20714
245	6751	20694
246	6775	20657
247	6804	20631
248	6828	20594
249	6856	20568
250	6885	20547
251	6917	20533
252	6939	20490
253	6962	20448
254	6986	20411
