Date,Month,Mean Pressure(hPa),Absolute Daily Max(deg. C),Mean(deg. C),Absolute Daily min(deg. C),Mean Dew Point(deg. C),Mean Relative Humidity(%),Mean Amount of Cloud(%),Total Bright Sunshine(hours),Prevailling Wind Direction(degrees),PWD_missing,Mean Wind Speed(km/h),MWS_missing,Total Rainfall(mm)
2000-01-01,1,1017.1,22.7,19.2,17.2,13.3,69,6,9.8,30.0,False,12.0,False,0.0
2000-01-02,1,1017.2,23.6,20.4,17.8,13.1,64,2,9.3,10.0,False,9.0,False,0.0
2000-01-03,1,1016.8,20.5,19.2,18.2,12.8,67,10,9.0,40.0,False,26.0,False,0.0
2000-01-04,1,1016.1,20.5,18.9,17.5,14.0,74,60,3.9,40.0,False,25.0,False,0.0
2000-01-05,1,1013.9,23.2,20.6,18.3,15.8,75,40,6.7,30.0,False,16.0,False,0.0
2000-01-06,1,1013.7,23.4,21.2,19.2,18.5,85,48,7.2,20.0,False,7.0,False,0.0
2000-01-07,1,1016.8,20.8,18.9,17.9,15.5,81,88,0.6,70.0,False,33.0,False,0.0
2000-01-08,1,1016.0,20.2,18.5,16.8,14.3,77,46,8.3,60.0,True,27.0,True,0.0
2000-01-09,1,1015.0,22.8,19.9,18.3,16.7,82,71,2.6,20.0,True,8.0,True,0.0
2000-01-10,1,1015.5,22.1,20.1,18.7,16.7,81,78,5.9,50.0,True,25.0,True,0.05
2000-01-11,1,1015.1,20.3,19.3,18.2,16.3,83,94,2.2,40.0,False,27.0,False,0.05
2000-01-12,1,1013.1,24.0,21.6,19.9,19.1,86,59,3.9,20.0,False,11.0,False,0.05
2000-01-13,1,1013.0,21.0,19.5,18.4,17.1,86,90,0.0,30.0,False,17.0,False,0.05
2000-01-14,1,1014.0,18.8,18.2,17.8,15.4,84,92,0.0,60.0,False,37.0,False,0.05
2000-01-15,1,1014.4,19.6,18.5,17.3,15.5,83,82,3.6,60.0,False,32.0,False,0.0
2000-01-16,1,1016.0,21.1,19.2,17.8,16.4,84,74,4.7,30.0,False,20.0,False,0.0
2000-01-17,1,1018.3,19.2,17.2,14.9,12.5,74,89,0.1,10.0,False,21.0,False,0.0
2000-01-18,1,1021.2,15.2,13.3,11.9,7.4,68,95,0.0,10.0,False,29.0,False,0.0
2000-01-19,1,1023.3,15.2,12.7,9.9,4.6,58,54,6.7,10.0,False,26.0,False,0.0
2000-01-20,1,1024.6,15.7,14.1,12.2,6.9,62,19,9.0,70.0,False,41.0,False,0.0
2000-01-21,1,1025.4,16.9,15.2,13.4,9.7,70,85,1.9,70.0,False,47.0,False,0.0
2000-01-22,1,1021.2,19.3,17.9,16.4,12.8,72,89,0.1,60.0,False,31.0,False,0.05
2000-01-23,1,1017.8,19.6,18.6,17.2,17.6,95,100,0.0,40.0,False,24.0,False,32.6
2000-01-24,1,1018.6,18.6,18.3,17.7,17.6,96,100,0.0,50.0,False,26.0,False,30.8
2000-01-25,1,1024.0,17.8,12.9,10.5,10.2,84,100,0.0,10.0,False,39.0,False,6.8
2000-01-26,1,1028.0,11.9,9.8,8.2,4.3,69,73,2.4,10.0,False,38.0,False,0.05
2000-01-27,1,1028.3,12.7,10.0,7.2,1.3,55,13,9.7,10.0,False,30.0,False,0.0
2000-01-28,1,1026.6,15.4,12.3,9.7,4.7,60,55,6.3,40.0,False,27.0,False,0.0
2000-01-29,1,1026.6,18.1,15.1,12.9,8.5,65,40,7.6,60.0,False,24.0,False,0.0
2000-01-30,1,1028.4,17.3,14.4,11.5,5.1,54,40,9.2,10.0,False,31.0,False,0.0
2000-01-31,1,1028.4,14.0,12.0,10.9,4.8,62,88,0.0,10.0,False,29.0,False,0.1
2000-02-01,2,1026.7,12.9,10.8,8.5,6.8,77,85,1.3,10.0,False,28.0,False,4.8
2000-02-02,2,1023.9,15.3,12.8,9.7,10.0,83,88,0.1,360.0,False,18.0,False,1.6
2000-02-03,2,1020.9,18.7,15.7,13.3,12.8,83,88,1.3,20.0,False,18.0,False,0.6
2000-02-04,2,1019.3,18.3,16.2,15.0,13.5,84,86,2.9,60.0,False,30.0,False,0.05
2000-02-05,2,1018.3,20.6,17.0,14.9,14.0,83,28,9.1,60.0,False,16.0,False,0.0
2000-02-06,2,1016.7,18.3,16.2,13.8,11.1,72,13,10.3,360.0,False,16.0,False,0.0
2000-02-07,2,1017.0,19.5,16.4,14.3,10.5,69,54,8.3,30.0,False,17.0,False,0.0
2000-02-08,2,1018.8,17.3,14.6,12.3,7.0,61,28,8.0,10.0,False,27.0,False,0.0
2000-02-09,2,1019.0,16.7,14.7,13.3,8.5,67,27,9.6,70.0,False,33.0,False,0.0
2000-02-10,2,1016.9,17.3,15.6,13.8,11.7,78,82,3.9,50.0,False,23.0,False,0.0
2000-02-11,2,1015.2,21.0,18.1,16.2,13.7,76,31,10.0,40.0,False,15.0,False,0.0
2000-02-12,2,1014.9,19.3,17.2,15.3,14.0,82,41,8.2,60.0,False,19.0,False,0.0
2000-02-13,2,1013.7,20.4,18.0,16.5,14.6,81,39,8.7,40.0,False,24.0,False,0.0
2000-02-14,2,1014.5,21.6,19.0,16.4,15.8,82,16,9.1,30.0,False,11.0,False,0.0
2000-02-15,2,1019.3,19.4,16.5,15.2,12.3,76,57,1.7,70.0,False,33.0,False,0.0
2000-02-16,2,1018.8,17.7,15.8,14.7,9.9,68,64,6.7,70.0,True,34.0,True,0.0
2000-02-17,2,1018.4,16.9,15.7,15.1,12.4,81,88,0.1,70.0,False,35.0,False,0.05
2000-02-18,2,1015.4,18.2,16.7,15.4,13.7,83,88,0.2,60.0,False,27.0,False,0.0
2000-02-19,2,1010.8,22.3,19.7,16.8,18.4,92,88,0.0,20.0,False,6.0,False,0.05
2000-02-20,2,1010.8,23.2,19.7,15.5,18.8,95,94,0.0,220.0,False,23.0,False,0.7
2000-02-21,2,1014.6,15.6,14.6,13.8,13.2,91,95,0.0,70.0,False,41.0,False,1.4
2000-02-22,2,1013.7,16.0,14.9,13.8,13.9,94,100,0.0,60.0,False,31.0,False,1.7
2000-02-23,2,1014.4,15.9,15.0,14.3,14.2,95,100,0.0,60.0,False,26.0,False,4.1
2000-02-24,2,1017.8,14.7,13.6,12.5,11.7,88,100,0.0,10.0,False,23.0,False,0.9
2000-02-25,2,1019.8,13.1,12.1,11.2,9.0,82,92,0.0,360.0,False,33.0,False,2.5
2000-02-26,2,1022.1,12.9,11.7,9.7,5.2,65,89,0.2,10.0,False,35.0,False,1.2
2000-02-27,2,1021.5,13.1,12.2,11.3,6.2,67,93,0.0,20.0,False,23.0,False,0.05
2000-02-28,2,1021.0,14.0,12.2,11.1,10.6,90,95,0.0,10.0,False,22.0,False,2.7
2000-02-29,2,1022.5,14.3,12.6,11.2,10.0,84,95,0.0,10.0,False,25.0,False,5.4
2000-03-01,3,1021.3,14.4,12.8,11.0,11.6,93,98,0.0,20.0,False,22.0,False,12.8
2000-03-02,3,1019.2,16.7,14.9,13.2,13.7,93,95,0.6,30.0,False,19.0,False,14.6
2000-03-03,3,1017.6,19.7,17.2,15.2,14.8,86,72,3.0,40.0,False,19.0,False,0.0
